1017,lord's robe,10,裁縫師(tailor),good cutting table iv,5300,fabric:6;dyes:7;mithril lumps:1;gems:1;glass:5;,短,布甲(clothes),beast attire x 68 → lord's robe,lord's robe x 68 → guideon robe
1018,monk cloak,5,裁縫師(tailor),cutting table iv,940,raw leather:5;elfwood sticks:2;iron ore:4;dyes:3;,短,布甲(clothes),apron x 60 → monk cloak,monk cloak x 48 → smith's apron
1019,priest's robe,7,裁縫師(tailor),cutting table v,2100,fabric:5;dyes:5;glass:2;,超長,布甲(clothes),smith's apron x 48 → priest's robe,priest's robe x 72 → rich cloak
1020,rich cloak,7,裁縫師(tailor),good cutting table ii,2800,fabric:8;dyes:5;glass:3;,短,布甲(clothes),priest's robe x 72 → rich cloak,rich cloak x 32 → cloak of concealment;rich cloak x 48 → beast attire
1021,sky mantle,13,裁縫師(tailor),fine cutting table ii,15000,*priest's robe:2;fabric:6;dyes:6;gems:3;,短,布甲(clothes),guideon robe x80 → sky mantle,sky mantle x88 → elemental wonder
1022,smith's apron,6,裁縫師(tailor),cutting table v,1200,apron:1;fabric:2;dyes:2;,快速,布甲(clothes),monk cloak x 48 → smith's apron,smith's apron x 48 → priest's robe
1023,treated cloak,2,裁縫師(tailor),cutting table ii,1800,fabric:4;raw leather:4;acid:1;,短,布甲(clothes),cloak x 16 → treated cloak;treated cloak,0
1024,vest of lies,17,裁縫師(tailor),fine cutting table v,220000,beast attire:4;shadow essence:1;fabric:10;gems:2;dyes:8;,超長,布甲(clothes),cosmic apparel x112 → vest of lies,vest of lies x144 → lord of darkness
1025,arm guard,5,裁縫師(tailor),cutting table iv,600,raw leather:6;elfwood sticks:3;,中,護腕(bracers),vambrace x 48 → arm-guard,arm-guard x 48 → abyssal arm-guard;arm-guard x 64 → war vambrace;arm-guard
1026,abyssal arm guard,4,裁縫師(tailor),cutting table iii,7500,raw leather:4;elfwood sticks:2;abyss shell:1;,長,護腕(bracers),arm-guard x 48 → abyssal arm-guard;abyssal arm-guard,0
1027,elfwood vambrace,7,裁縫師(tailor),good cutting table ii,1400,*iron bracers:1;wood:5;elfwood sticks:4;ironwood:2;,短,護腕(bracers),war vambrace x 48 → elfwood vambrace,elfwood vambrace x 32 → stone hands
1028,elven vambrace,10,店長(shopkeeper),spacious table v,18000,elfwood sticks:15;*elfwood vambrace:3;,短,護腕(bracers),成就：sewing 3(獲得30個裁縫師配方);elven vambrace,enabling vambrace x60 → gladiator's vambrace;enabling vambrace
1029,enabling vambrace,15,裁縫師(tailor),fine cutting table iii,16000,*wrist-guard:2;raw leather:10;fabric:8;oil:8;gems:5;,長,護腕(bracers),stone hands x60 → enabling vambrace,enabling vambrace x60 → gladiator's vambrace
1030,gladiator's vambrace,18,裁縫師(tailor),fine cutting table iv,430000,*vambrace:5;*ring of might:5;mithril lumps:8;oil:8;ironwood:8;roaring powder:3;,長,護腕(bracers),enabling vambrace x60 → gladiator's vambrace;gladiator's vambrace,0
1031,iron bracers,1,店長(shopkeeper),work table i,40,iron ore:1;,快速,護腕(bracers),0,iron bracers *12 → small bow
1032,stone hands,11,裁縫師(tailor),good cutting table v,7700,steel rods:4;ironwood:6;glass:7;wood:8;,中,護腕(bracers),elfwood vambrace x 32 → stone hands,stone hands *60 → enabling vambrace
1033,vambrace,4,裁縫師(tailor),cutting table iii,250,raw leather:4;iron ore:5;,短,護腕(bracers),wrist-guard x 36 → vambrace,vambrace x 48 → arm-guard
1034,war vambrace,6,裁縫師(tailor),cutting table v,840,raw leather:5;iron ore:6;dyes:3;,短,護腕(bracers),arm-guard x 64 → war vambrace,war vambrace x 48 → elfwood vambrace
1035,wrist-guard,2,裁縫師(tailor),cutting table ii,65,wood:3;,快速,護腕(bracers),leather shoes x 16 → wrist-guard,wrist-guard x 36 → vambrace
1036,blackbeard,16,附魔師(enchanter),luxurious table iv,160000,roaring powder:1;ironwood:8;mithril lumps:3;crystals:2;powder:8;,超長,火槍(guns),soul shooter x68 → blackbeard;blackbeard,blue lagoon x60 → soul shooter;blue lagoon
1037,blue lagoon,17,發明家(tinkerer),luxurious table v,20000,elfwood sticks:8;ironwood:6;steel rods:5;powder:8;iron ore:8;,中,火槍(guns),quickdraw pistol x32 → blue lagoon,blue lagoon x60 → soul shooter
1038,dragon,5,發明家(tinkerer),work table v,275,wood:4;iron ore:2;,中,火槍(guns),musket x20 → *dragon,*dragon x32 → fiery dragon;*dragon x52 → *musketeer's rifle
1039,escopette,8,發明家(tinkerer),spacious table iii,1600,wood:4;elfwood sticks:2;steel rods:1;powder:2;,短,火槍(guns),*sniper rifle x72 → escopette,escopette x60 → *lightning bolt
1040,everlasting pistol,19,發明家(tinkerer),luxurious table v,320000,lightning bolt:3;dragon scale:1;mithril lumps:4;crystals:2;powder:6;elfwood sticks:8;,長,火槍(guns),green dragon x100 → everlasting pistol,everlasting pistol x120 → hand-of-god
1041,fiery dragon,4,發明家(tinkerer),spacious table i,7900,*dragon:1;volcanic rock:1;,中,火槍(guns),*dragon x32 → fiery dragon;fiery dragon,0
1042,gold dragon,14,發明家(tinkerer),luxurious table ii,10000,*dragon:1;ironwood:6;steel rods:3;powder:6;,中,火槍(guns),*lightning bolt x48 → gold dragon,gold dragon x48 → quickdraw pistol
1043,green dragon,16,發明家(tinkerer),luxurious table iv,37000,*dragon:3;ironwood:10;mithril lumps:7;powder:10;elfwood sticks:6;iron ore:8;,長,火槍(guns),soul shooter x96 → green dragon,green dragon x100 → everlasting pistol
1044,hand-of-god,20,發明家(tinkerer),luxurious table v,630000,musketeer's rifle:15;holy talisman:2;divine leaf:1;ironwood:8;mithril lumps:5;powder:10;,超長,火槍(guns),everlasting pistol x120 → hand-of-god;hand-of-god,0
1045,lightning bolt,9,發明家(tinkerer),spacious table iv,4700,elfwood sticks:3;ironwood:3;steel rods:2;powder:3;,中,火槍(guns),escopette x60 → *lightning bolt,*lightning bolt x48 → gold dragon
1046,musket,3,發明家(tinkerer),work table iii,145,wood:2;iron ore:2;,短,火槍(guns),pistol x 12 → musket,musket x 20 → dragon
1047,musketeer's rifle,5,發明家(tinkerer),work table v,475,wood:4;iron ore:2;powder:1;,短,火槍(guns),*dragon x52 → *musketeer's rifle,*musketeer's rifle x48 → *sniper rifle
1048,pistol,1,發明家(tinkerer),work table ii,55,wood:1;iron ore:1;,快速,火槍(guns),0,pistol x 8 → darts;pistol x 12 → musket
1049,quickdraw pistol,14,發明家(tinkerer),luxurious table ii,15000,*sharpshooter:1;ironwood:6;steel rods:4;powder:7;wood:8;,中,火槍(guns),gold dragon x48 → quickdraw pistol,quickdraw pistol x32 → blue lagoon
1050,rising dragon,17,店長(shopkeeper),luxurious table v,560000,dragon scale:1;rising sun:1;mithril lumps:8;crystals:8;powder:8;,超長,火槍(guns),bishop's staff x130 → rising dragon;rising dragon,0
1051,sharpshooter,5,店長(shopkeeper),spacious table i,2200,wood:5;elfwood sticks:4;powder:3;,中,火槍(guns),成就：inventor 2(獲得12個發明家配方),*sniper rifle x72 → escopette
1052,sniper rifle,6,發明家(tinkerer),spacious table ii,1300,wood:5;elfwood sticks:2;iron ore:1;powder:2;,快速,火槍(guns),*musketeer's rifle x48 → *sniper rifle,*sniper rifle x72 → escopette
1053,soul shooter,16,發明家(tinkerer),luxurious table iv,24000,*sniper rifle:3;ironwood:8;mithril lumps:1;crystals:1;powder:8;,中,火槍(guns),blue lagoon x60 → soul shooter,soul shooter x68 → blackbeard;soul shooter x96 → green dragon
1054,assault axe,5,鐵匠(blacksmith),iron anvil iv,460,iron ore:6;elfwood sticks:2;,短,斧(axes),halberd x60→*assault axe,assault axe x32→pirate axe;assault axe x48→*stone axe
1055,asunder,16,鐵匠(blacksmith),mithril anvil iv,15000,mithril lumps:5;steel rods:8;elfwood sticks:5;,超長,斧(axes),brier-axe x80 → asunder,asunder x92 → twinaxe
1056,brier-axe,15,鐵匠(blacksmith),mithril anvil iii,13000,mithril lumps:5;crystals:3;ironwood:5;,中,斧(axes),vicious chopper x40 → brier-axe,brier-axe x80 → asunder
1057,broad-axe,3,鐵匠(blacksmith),iron anvil ii,240,wood:4;iron ore:4;,中,斧(axes),*small axe x48→*broad axe,*broad axe x15→great broad-axe;*broad axe x48 → halberd
1058,elfwood pole-axe,5,店長(shopkeeper),spacious table i,1700,steel rods:2;elfwood sticks:6;,快速,斧(axes),spiked mace x 35 → elfwood pole-axe,elfwood pole-axe x 55 → warrior's trident
1059,enchanted labrys,13,附魔師(enchanter),luxurious table ii,130000,*pole-axe:5;steel rods:3;roaring powder:1;,短,斧(axes),war labrys x52 → enchanted labrys;enchanted labrys,0
1060,frost axe,10,鐵匠(blacksmith),steel anvil iv,25000,*broad-axe:5;steel rods:4;eternal ice:1;,快速,斧(axes),sturdy pole-axe *40 → frost axe;frost axe,0
1061,giant halberd,17,鐵匠(blacksmith),mithril anvil v,47000,*ranseur:8;*assault axe:5;steel rods:8;mithril lumps:5;ironwood:10;,長,斧(axes),twinaxe x100 → giant halberd,giant halberd x100 → planet cutter
1062,great broad axe,3,鐵匠(blacksmith),iron anvil ii,2000,wood:5;iron ore:5;acid:1;,中,斧(axes),*broad axe x15→great broad-axe;great broad-axe,0
1063,halberd,4,鐵匠(blacksmith),iron anvil ii,300,iron ore:6;elfwood sticks:1;,短,斧(axes),*broad axe x48→halberd,halberd x60→*assault axe
1064,hand axe,1,鐵匠(blacksmith),iron anvil ii,150,wood:3;iron ore:3;,快速,斧(axes),dagger x16 → hand axe,hand axe x32→*small axe
1065,pirate axe,6,鐵匠(blacksmith),iron anvil v,8300,*broad-axe:1;abyss shell:1;,短,斧(axes),assault axe x32→pirate axe;pirate axe,*pole-axe x60→*steel battle-axe
1066,planet cutter,20,鐵匠(blacksmith),mithril anvil v,430000,*stone axe:5;*ring of might:10;rising sun:1;steel rods:25;mithril lumps:10;ironwood:8;,長,斧(axes),giant halberd x100 → planet cutter;planet cutter,*pole-axe x60→*steel battle-axe
1067,pole-axe,7,鐵匠(blacksmith),steel anvil i,1400,steel rods:2;elfwood sticks:4;,長,斧(axes),*stone axe x60→*pole-axe,*pole-axe x60→*steel battle-axe
1068,small axe,2,鐵匠(blacksmith),iron anvil ii,185,wood:3;iron ore:4;,快速,斧(axes),hand axe x32→*small axe,*small axe x48→*broad axe
1069,sol axe,19,鐵匠(blacksmith),mithril anvil v,260000,steel battle-axe:2;mithril lumps:10;dragon scale:1;,中,斧(axes),成就：expert merchant(賺取10;000;000);sol axe,*steel battle-axe x64 → sturdy pole-axe
1070,steel battle-axe,8,鐵匠(blacksmith),steel anvil iii,1900,steel rods:4;iron ore:6;,快速,斧(axes),*pole-axe x60 → *steel battle-axe,*steel battle-axe x64 → sturdy pole-axe
1071,stone axe,6,鐵匠(blacksmith),steel anvil i,1000,steel rods:2;elfwood sticks:3;,短,斧(axes),assault axe x48→*stone axe,*stone axe x60→*pole-axe
1072,stone cleaver,13,附魔師(enchanter),luxurious table ii,18000,steel rods:8;elfwood sticks:8;ironwood:8;,短,斧(axes),swift iron boots x140→stone cleaver;stone cleaver,sturdy pole-axe x40 → frost axe;sturdy pole-axe x68 → war labrys;sturdy pole-axe
1073,sturdy pole-axe,9,鐵匠(blacksmith),steel anvil iii,4300,*stone axe:2;steel rods:2;,短,斧(axes),steel battle-axe x64 → sturdy pole-axe,sturdy pole-axe x40 → frost axe;sturdy pole-axe x68 → war labrys
1074,twinaxe,16,鐵匠(blacksmith),mithril anvil iv,24000,*broad-axe:5;steel rods:8;ironwood:10;mithril lumps:4;,中,斧(axes),asunder x92 → twinaxe,twinaxe x100 → giant halberd
1075,war labrys,11,鐵匠(blacksmith),steel anvil v,6200,*pole-axe:2;steel rods:3;,短,斧(axes),sturdy pole-axe x68 → war labrys,war labrys x52 → enchanted labrys;war labrys x80 → vicious chopper
1076,vicious chopper,13,鐵匠(blacksmith),mithril anvil ii,9600,*ring of might:1;*small axe:4;mithril lumps:2;ironwood:4;gems:1;,短,斧(axes),war labrys x80 → vicious chopper,vicious chopper x40 → brier-axe
1077,angelwing,16,鐵匠(blacksmith),mithril anvil iv,65000,*band of light:3;*steel blade:6;crystals:3;mithril lumps:3;gems:3;,長,匕首(daggers),*assassin's dagger x120 → angelwing,angelwing x128 → blackblade
1078,assassin's dagger,14,鐵匠(blacksmith),mithril anvil ii,11000,*dagger:3;mithril lumps:5;iron ore:8;raw leather:6;gems:3;,長,匕首(daggers),*crimson heart x84 → assassin's dagger,assassin's dagger x60 → ebony dagger;assassin's dagger x120 → angelwing
1079,bandit's dagger,3,鐵匠(blacksmith),iron anvil ii,155,iron ore:4;wood:1;,中,匕首(daggers),main-gauche x32 → bandit's dagger,bandit's dagger x24 → poison blade;bandit's dagger x48 → cutter
1080,blackblade,20,鐵匠(blacksmith),mithril anvil v,480000,*assassin's dagger:3;demon blood:1;shadow essence:1;mithril lumps:5;gems:3;,超長,匕首(daggers),angelwing x128 → blackblade;blackblade,0
1081,curver blade,17,附魔師(enchanter),luxurious table v,51000,mithril lumps:2;crystals:1;demon horn:1;,長,匕首(daggers),sacrificial blade x40 → curver blade;curver blade,cutter x48 → steel blade;cutter
1082,cutter,4,鐵匠(blacksmith),iron anvil iii,285,iron ore:5;raw leather:2;,短,匕首(daggers),bandit's dagger x48 → cutter,cutter x48 → steel blade
1083,crimson heart,13,鐵匠(blacksmith),mithril anvil i,8900,mithril lumps:5;gems:2;iron ore:8;raw leather:5;,超長,匕首(daggers),sacrificial blade x68 → crimson heart,crimson heart x84 → *assassin's dagger
1084,dagger,1,鐵匠(blacksmith),iron anvil i,60,iron ore:2;,快速,匕首(daggers),成就：smithy 3(獲得30個鐵匠配方);*dragon heart,dagger x 16 → hand axe;dagger x 20 → main-gauche
1085,dragon heart,15,店長(shopkeeper),luxurious table iii,200000,mithril lumps:5;gems:5;dragon scale:1;,超長,匕首(daggers),成就：smithy 3(獲得30個鐵匠配方);*dragon heart,0
1086,ebony dagger,15,鐵匠(blacksmith),mithril anvil iii,130000,*crimson heart:2;*ebonystaff:8;roaring powder:1;,超長,匕首(daggers),*assassin's dagger x60 → ebony dagger;ebony dagger,0
1087,fire dagger,6,鐵匠(blacksmith),iron anvil v,16000,dagger:5;volcanic rock:2;iron ore:8;steel rods:4;raw leather:4;,短,匕首(daggers),steel blade x28 → fire dagger;fire dagger,0
1088,knife,1,店長(shopkeeper),work table i,45,iron ore:1;,快速,匕首(daggers),mailbreaker x48 → *kris,knife *12 → sharp spear
1089,kris,8,鐵匠(blacksmith),steel anvil ii,2400,steel rods:4;crystals:1;,中,匕首(daggers),mailbreaker x48 → *kris,*kris x20 → toxic blade;*kris x60 → survival knife
1090,mailbreaker,7,鐵匠(blacksmith),steel anvil i,1900,steel rods:3;iron ore:8;raw leather:6;,長,匕首(daggers),purse-opener x60 → mailbreaker,mailbreaker x48 → kris
1091,main-gauche,2,鐵匠(blacksmith),iron anvil ii,85,iron ore:3;,快速,匕首(daggers),dagger x20 → main-gauche,main-gauche x32 → bandit's dagger
1092,poison blade,5,鐵匠(blacksmith),iron anvil iv,4100,iron ore:3;acid:1;,長,匕首(daggers),bandit's dagger x24 → poison blade;poison blade,purse-opener x60 → mailbreaker;purse-opener
1093,purse opener,6,鐵匠(blacksmith),iron anvil v,1500,steel blade:1;bandit's dagger:1;,中,匕首(daggers),steel blade x48 → purse-opener,purse-opener x60 → mailbreaker;purse-opener
1094,sacrificial blade,9,鐵匠(blacksmith),steel anvil iii,5700,steel rods:5;crystals:3;,長,匕首(daggers),cutter x48 → steel blade,sacrificial blade x40 → curver blade;sacrificial blade x68 → *crimson heart
1095,steel blade,5,鐵匠(blacksmith),iron anvil iv,1000,steel rods:3;,短,匕首(daggers),cutter x48 → steel blade,steel blade x28 → fire dagger;steel blade x48 → purse-opener
1096,survival knife,8,鐵匠(blacksmith),steel anvil ii,3400,knife:1;steel rods:4;crystals:2;,中,匕首(daggers),kris * 60 → survival knife,survival knife * 48 → sacrificial blade
1097,toxic blade,10,鐵匠(blacksmith),steel anvil iv,9900,*kris:1;acid:2;,長,匕首(daggers),*kris x20 → toxic blade;toxic blade,0
1098,belial,20,鎧甲師(armorer),mithril anvil v,540000,demon plate:1;mithril lumps:4;shadow essence:1;demon horn:2;,短,重甲(heavy armor),成就：hoarder 5(當日總收入達1;000;000);belial,brigandine x 32 → chain mail;brigandine
1099,brigandine,2,鎧甲師(armorer),iron anvil ii,190,iron ore:4;raw leather:3;,短,重甲(heavy armor),scale mail x 20 → brigandine,brigandine x 32 → chain mail
1100,chain mail,3,鎧甲師(armorer),iron anvil iii,310,iron ore:6;raw leather:4;,快速,重甲(heavy armor),brigandine x 32 → chain mail,chain mail x 32 → light lorica;chain mail x 48 → lorica segmentata
1101,demon plate,15,鎧甲師(armorer),mithril anvil iii,180000,half-plate:5;mithril lumps:4;shadow essence:1;,中,重甲(heavy armor),great armor x 40 → demon plate,0
1102,dragon plate,20,鎧甲師(armorer),mithril anvil v,1010000,full plate:5;scale mail:15;amulet of evil protection:1;dragon scale:2;mithril lumps:10;crystals:5;,超長,重甲(heavy armor),sky dragoon armor x128 → dragon plate;dragon plate,0
1103,flexible plate,7,鎧甲師(armorer),steel anvil ii,4600,steel rods:3;oil:6;raw leather:4;,短,重甲(heavy armor),iron plate armor x 60 → flexible plate,flexible plate x 60 → guard mail
1104,full plate,11,鎧甲師(armorer),steel anvil v,8700,half-plate:1;steel rods:4;oil:5;iron ore:6;,中,重甲(heavy armor),guard mail x 60 → full plate,full plate *68 → great armor
1105,guard mail,9,鎧甲師(armorer),steel anvil iii,5600,chain mail:2;steel rods:3;raw leather:5;oil:5;,中,重甲(heavy armor),flexible plate x 60 → guard mail,guard mail x 32 → plate of the moon;guard mail x 60 → full plate
1106,great armor,12,鎧甲師(armorer),mithril anvil i,12000,mithril lumps:4;steel rods:5;raw leather:4;oil:7;,中,重甲(heavy armor),*full plate x68 → great armor,great armor x40 → demon plate;great armor x68 → lionheart
1107,half-plate,5,鎧甲師(armorer),iron anvil iv,1800,steel rods:2;oil:2;raw leather:4;fabric:4;,短,重甲(heavy armor),lorica segmentata x 48 → half-plate,half-plate x 52 → iron plate armor
1108,iron plate armor,6,鎧甲師(armorer),steel anvil i,3100,iron ore:8;steel rods:4;oil:3;raw leather:2;,短,重甲(heavy armor),half-plate x 52 → iron plate armor,iron plate armor x 60 → flexible plate
1109,light lorica,4,鎧甲師(armorer),iron anvil iv,4300,iron ore:3;steel rods:2;faery's tear:1;,中,重甲(heavy armor),chain mail x 32 → light lorica;light lorica,lionheart x60 → rock armor;lionheart x112 → sky dragoon armor;lionheart
1110,lionheart,16,鎧甲師(armorer),mithril anvil iv,21000,*pendant of safety:2;mithril lumps:6;steel rods:8;fabric:6;raw leather:5;oil:4;,中,重甲(heavy armor),great armor x68 → lionheart,lionheart x60 → rock armor;lionheart x112 → sky dragoon armor
1111,lorica segmentata,4,鎧甲師(armorer),iron anvil iii,640,iron ore:4;steel rods:2;,短,重甲(heavy armor),chain mail x 48 → lorica segmentata,lorica segmentata x 48 → half-plate
1112,plate of the moon,13,附魔師(enchanter),luxurious table iv,100000,half-plate:2;steel rods:5;moon stone:1;,長,重甲(heavy armor),guard mail x32 → plate of the moon;plate of the moon,0
1113,plate of the renown,20,店長(shopkeeper),luxurious table v,540000,golden silk:1;divine leaf:1;mithril lumps:4;crystals:4;gems:4;,長,重甲(heavy armor),成就：wordly(到達100等);plate of the renown,0
1114,rock armor,17,鎧甲師(armorer),mithril anvil v,86000,*stalagmite gloves:1;*stone hands:1;crystals:2;mithril lumps:3;,長,重甲(heavy armor),lionheart x60 → rock armor;rock armor,0
1115,scale mail,1,鎧甲師(armorer),iron anvil i,110,iron ore:3;raw leather:2;,快速,重甲(heavy armor),lionheart x112 → sky dragoon armor,scale mail x 12 → iron gauntlets;scale mail x 20 → brigandine
1116,sky dragoon armor,19,鎧甲師(armorer),mithril anvil v,310000,*scale mail:10;steel rods:10;mithril lumps:10;crystals:8;rising sun:1;,中,重甲(heavy armor),lionheart x112 → sky dragoon armor,sky dragoon armor x128 → dragon plate
1117,berserker's sabatons,10,鎧甲師(armorer),steel anvil iv,19000,*warrior's sabaton:1;steel rods:6;fabric:8;crystals:3;mithril lumps:3;iron ore:8;,短,重靴(heavy boots),knight's sabatons x68 → berserker's sabatons,berserker's sabatons x96 → paladin's sabatons
1118,dragoon's sabatons,20,鎧甲師(armorer),mithril anvil v,630000,fine sabaton:15;dragon scale:2;steel rods:10;mithril lumps:7;crystals:4;,長,重靴(heavy boots),paladin's sabatons x120 → dragoon's sabatons;dragoon's sabatons,0
1119,fine sabaton,2,鎧甲師(armorer),iron anvil ii,470,iron ore:6;raw leather:4;fabric:2;,短,重靴(heavy boots),iron boots x 48 → fine sabaton,fine sabaton x 60 → soldier's sabatons
1120,iron boots,1,鎧甲師(armorer),iron anvil i,210,iron ore:4;raw leather:4;,快速,重靴(heavy boots),iron gauntlets x 32 → iron boots,iron boots x 32 → spiked boots;iron boots x 48 → fine sabaton
1121,knight's sabatons,9,鎧甲師(armorer),steel anvil iii,2900,steel rods:4;fabric:5;raw leather:8;,短,重靴(heavy boots),soldier's sabatons x 68 → knight's sabatons,knight's sabatons x 68 → berserker's sabatons
1122,paladin's sabatons,14,鎧甲師(armorer),mithril anvil ii,30000,knight's sabatons:1;amulet of light:2;mithril lumps:6;steel rods:4;raw leather:3;fabric:10;,中,重靴(heavy boots),berserker's sabatons x96 → paladin's sabatons,paladin's sabatons x120 → dragoon's sabatons
1123,spiked boots,4,鎧甲師(armorer),iron anvil iii,4500,iron ore:2;raw leather:2;volcanic rock:1;,短,重靴(heavy boots),iron boots x 32 → spiked boots;spiked boots,soldier's sabatons x 68 → knight's sabatons;soldier's sabatons
1124,soldier's sabatons,7,鎧甲師(armorer),steel anvil ii,890,steel rods:2;fabric:2;raw leather:2;,短,重靴(heavy boots),fine sabaton x 60 → soldier's sabatons,soldier's sabatons x 68 → knight's sabatons
1125,swift iron boots,10,附魔師(enchanter),spacious table v,7400,iron ore:10;raw leather:9;fabric:6;steel rods:6;,快速,重靴(heavy boots),antivenom x120 → swift iron boots,swift iron boots x140 → stone cleaver
1126,warrior's sabaton,12,店長(shopkeeper),luxurious table i,4700,steel rods:8;raw leather:6;fabric:4;,短,重靴(heavy boots),成就：armor 2(獲得15個鎧甲師配方),0
1127,ancient helmet,19,鎧甲師(armorer),mithril anvil v,300000,rising sun:1;steel rods:6;oil:8;mithril lumps:2;gems:2;,超長,重盔(heavy helmets),transmundane full helmet x96 → ancient helmet,ancient helmet x120 → wrathful face
1128,blessed helm,9,鎧甲師(armorer),steel anvil ii,3500,iron ore:6;steel rods:4;oil:3;,中,重盔(heavy helmets),knight's hauberk x 64 → blessed helm,blessed helm x 68 → war mask
1129,brass helmet,2,鎧甲師(armorer),iron anvil ii,190,iron ore:6;,快速,重盔(heavy helmets),metal cap x 20 → brass helmet,brass helmet x 32 → full helmet
1130,fitting top,5,鎧甲師(armorer),iron anvil iv,780,iron ore:8;raw leather:10;,中,重盔(heavy helmets),full helmet x 32 → fitting top,fitting top x 40 → kabuto;fitting top x 60 → knight's hauberk
1131,full helmet,4,鎧甲師(armorer),iron anvil iii,320,iron ore:8;,中,重盔(heavy helmets),brass helmet x 32 → full helmet,full helmet x 32 → fitting top
1132,heavy helmet,6,店長(shopkeeper),spacious table ii,365,iron ore:8;,短,重盔(heavy helmets),成就：land owner 2(擴店4次),0
1133,kabuto,7,鎧甲師(armorer),steel anvil ii,9300,full helmet:1;abyss shell:1;,短,重盔(heavy helmets),fitting top x 40 → kabuto;kabuto,knight's hauberk x 64 → blessed helm;knight's hauberk
1134,knight's hauberk,6,鎧甲師(armorer),iron anvil v,1000,iron ore:5;steel rods:1;raw leather:3;fabric:2;dyes:2;,中,重盔(heavy helmets),fitting top x 60 → knight's hauberk,knight's hauberk x 64 → blessed helm
1135,metal cap,1,鎧甲師(armorer),iron anvil i,105,iron ore:4;,快速,重盔(heavy helmets),iron gauntlets x 12 → metal cap,metal cap x 20 → brass helmet
1136,paladin's helmet,15,附魔師(enchanter),luxurious table iii,31000,blessed helm:1;faery's tear:2;mithril lumps:3;crystals:1;,中,重盔(heavy helmets),steel hauberk x40 → paladin's helmet;paladin's helmet,0
